term,definition
EIA/TIA-232 and EIA/TIA-449,physical
X.21,physical
High-Speed Serial Interface (HSSI),physical
Synchronous Optical Network (SONET),physical
V.24 and V.35,physical
Serial Line Internet Protocol,data link
Point-to-Point Protocol (PPP),data link
Address Resolution Protocol (ARP),data link
Reverse Address Resolution Protocol (RARP),data link
Layer 2 Forwarding (L2F),data link
Layer 2 Tunneling Protocol (L2TP),data link
Point-to-Point Tunneling Protocol (PPTP),data link
Integrated Services Digital Network (ISDN),data link
Internet Control Message Protocol (ICMP),network
Routing Information Protocol (RIP),network
Open Shortest Path First (OSPF),network
Border Gateway Protocol (BGP),network
Internet Group Management Protocol (IGMP),network
Internet Protocol (IP),network
Internet Protocol Security (IPSec),network
Internetwork Packet Exchange (IPX),network
Network Address Translation (NAT),network
Simple Key Management for Internet Protocols (SKIP),network
NFS,session
TCP,transport
